directory,filename,title,file_type,full_path
/media/zappatistas20/Elements/Thesis/Data/films/Ford V Ferrari (2019) [1080p] [BluRay] [5.1] [YTS.LT],Ford.V.Ferrari.2019.1080p.BluRay.x264.AAC5.1-[YTS.LT].mp4,ford v ferrari 2019 blu ray aac5 1 lt,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Ford V Ferrari (2019) [1080p] [BluRay] [5.1] [YTS.LT]/Ford.V.Ferrari.2019.1080p.BluRay.x264.AAC5.1-[YTS.LT].mp4
/media/zappatistas20/Elements/Thesis/Data/films/Forrest Gump (1994),Forrest.Gump.1994.720p.BrRip.x264.YIFY.mp4,forrest gump 1994 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Forrest Gump (1994)/Forrest.Gump.1994.720p.BrRip.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/American Beauty (1999) [1080p],American.Beauty.1999.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,american beauty 1999 br rip bokutox yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/American Beauty (1999) [1080p]/American.Beauty.1999.1080p.BrRip.x264.BOKUTOX.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Batman Begins (2005) [1080p],Batman.Begins.2005.1080p.BluRay.x264.YIFY.mp4,batman begins 2005 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Batman Begins (2005) [1080p]/Batman.Begins.2005.1080p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Come and See (1985) 1080p BRRip x264 Ganool,Come and See (1985) 1080p BRRip x264 Ganool.mp4,come and see 1985 br rip ganool,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Come and See (1985) 1080p BRRip x264 Ganool/Come and See (1985) 1080p BRRip x264 Ganool.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb (1964) [BluRay] [1080p] [YTS.AM],Dr..Strangelove.Or.How.I.Learned.To.Stop.Worrying.And.Love.The.Bomb.1964.1080p.BluRay.x264-[YTS.AM].mp4,dr strangelove or how i learned to stop worrying and love the bomb 1964 blu ray am,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Dr. Strangelove Or How I Learned To Stop Worrying And Love The Bomb (1964) [BluRay] [1080p] [YTS.AM]/Dr..Strangelove.Or.How.I.Learned.To.Stop.Worrying.And.Love.The.Bomb.1964.1080p.BluRay.x264-[YTS.AM].mp4
/media/zappatistas20/Elements/Thesis/Data/films/Full Metal Jacket (1987),Full.Metal.Jacket.1987.720p.BrRip.YIFY.mp4,full metal jacket 1987 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Full Metal Jacket (1987)/Full.Metal.Jacket.1987.720p.BrRip.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Hacksaw Ridge 2016 1080p WEB-DL x264 AC3-JYK,Hacksaw Ridge 2016 1080p WEB-DL x264 AC3-JYK.mkv,hacksaw ridge 2016 web dl ac3 jyk,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Hacksaw Ridge 2016 1080p WEB-DL x264 AC3-JYK/Hacksaw Ridge 2016 1080p WEB-DL x264 AC3-JYK.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Inglourious Basterds 2009 Inglorious Bastards DVDRip x264,Inglourious Basterds 2009 x264 aac.mkv,inglourious basterds 2009,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Inglourious Basterds 2009 Inglorious Bastards DVDRip x264/Inglourious Basterds 2009 x264 aac.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Inglourious Basterds 2009 Inglorious Bastards DVDRip x264/Sample & Screenshots,IB (2009) - Sample.mkv,ib 2009 sample,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Inglourious Basterds 2009 Inglorious Bastards DVDRip x264/Sample & Screenshots/IB (2009) - Sample.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Mary and Max (2009) [1080p],Mary.and.Max.2009.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,mary and max 2009 br rip bokutox yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Mary and Max (2009) [1080p]/Mary.and.Max.2009.1080p.BrRip.x264.BOKUTOX.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Once Upon a Time in the West (1968),Once.Upon.a.Time.in.the.West.1968.720p.BluRay.x264.YIFY.mp4,once upon a time in the west 1968 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Once Upon a Time in the West (1968)/Once.Upon.a.Time.in.the.West.1968.720p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Rocky (1976),Rocky.1976.720p.BrRip.x264.YIFY.mp4,rocky 1976 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Rocky (1976)/Rocky.1976.720p.BrRip.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Gone Girl (2014),Gone.Girl.2014.720p.BluRay.x264.YIFY.mp4,gone girl 2014 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Gone Girl (2014)/Gone.Girl.2014.720p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Gone With The Wind (1939),Gone.With.The.Wind.1939.720p.BluRay.x264.YIFY.mkv,gone with the wind 1939 blu ray yify,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Gone With The Wind (1939)/Gone.With.The.Wind.1939.720p.BluRay.x264.YIFY.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Good Will Hunting (1997) [1080p],Good.Will.Hunting.1997.1080p.BrRip.x264.YIFY.mp4,good will hunting 1997 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Good Will Hunting (1997) [1080p]/Good.Will.Hunting.1997.1080p.BrRip.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Goodfellas (1990),Goodfellas.1990.720p.BrRip.264.YIFY.mp4,goodfellas 1990 br rip 264 yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Goodfellas (1990)/Goodfellas.1990.720p.BrRip.264.YIFY.mp4
