title,directory_audio,filename_audio,id_audio,directory_video,filename_video,id_video
Charlie_Chaplin_-_Factory_Scene_-_Modern_Times_1936,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Charlie_Chaplin_-_Factory_Scene_-_Modern_Times_1936-id_6n9ESFJTnHs-specs_50.webm,6n9ESFJTnHs,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Charlie_Chaplin_-_Factory_Scene_-_Modern_Times_1936-id_6n9ESFJTnHs-specs_256x128_25.mp4,6n9ESFJTnHs
Charlie_s_Angels_-_Full_Throttle_-_Last_Dance_Scene_7_10_Movieclips,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Charlie_s_Angels_-_Full_Throttle_-_Last_Dance_Scene_7_10_Movieclips-id_i6oNzS6kCR8-specs_50.w,i6oNzS6kCR8,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Charlie_s_Angels_-_Full_Throttle_-_Last_Dance_Scene_7_10_Movieclips-id_i6oNzS6kCR8-specs_256x,i6oNzS6kCR8
Charlie_s_Angels_-_Full_Throttle_-_Striptease_Distraction_Scene_4_10_Movieclips,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Charlie_s_Angels_-_Full_Throttle_-_Striptease_Distraction_Scene_4_10_Movieclips-id_bn_Df5UNy3,bn_Df5UNy3,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Charlie_s_Angels_-_Full_Throttle_-_Striptease_Distraction_Scene_4_10_Movieclips-id_bn_Df5UNy3,bn_Df5UNy3
Clair_de_lune_Ocean_s_Eleven,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Clair_de_lune_Ocean_s_Eleven-id_Cfu9s89C-pc-specs_50.webm,Cfu9s89C,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Clair_de_lune_Ocean_s_Eleven-id_Cfu9s89C-pc-specs_256x106_25.webm,Cfu9s89C
Claire_Forlani_Freddie_Prinze_Jr_Dance_Scene_HD,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Claire_Forlani_Freddie_Prinze_Jr_Dance_Scene_HD-id_s9KjwSW653g-specs_50.webm,s9KjwSW653g,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Claire_Forlani_Freddie_Prinze_Jr_Dance_Scene_HD-id_s9KjwSW653g-specs_256x144_15.mp4,s9KjwSW653g
Crazy_Stupid_Love_-_The_Big_Move,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Crazy_Stupid_Love_-_The_Big_Move-id_9vSKyFA5F9Y-specs_50.webm,9vSKyFA5F9Y,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Crazy_Stupid_Love_-_The_Big_Move-id_9vSKyFA5F9Y-specs_256x144_24.webm,9vSKyFA5F9Y
Creedence_Clearwater_Revival_-_Fortunate_Son_._.Forrest_Gump,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Creedence_Clearwater_Revival_-_Fortunate_Son_._.Forrest_Gump-id__Nc8eLO4K_g-specs_50.webm,_Nc8eLO4K_g,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Creedence_Clearwater_Revival_-_Fortunate_Son_._.Forrest_Gump-id__Nc8eLO4K_g-specs_192x144_13,_Nc8eLO4K_g
DARK_characters_-_past_and_present_-_Familiar_by_Agnes_Obel,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_DARK_characters_-_past_and_present_-_Familiar_by_Agnes_Obel-id_zfFJ5iOSrMU-specs_50.webm,zfFJ5iOSrMU,data\2020-03-22_21_25\data\downloads\downloaded\video,title_DARK_characters_-_past_and_present_-_Familiar_by_Agnes_Obel-id_zfFJ5iOSrMU-specs_256x144_30.w,zfFJ5iOSrMU
Dances_With_Wolves_-_John_Dunbar_Discovers_Stands_With_A_Fist_and_the_Sioux_Village,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Dances_With_Wolves_-_John_Dunbar_Discovers_Stands_With_A_Fist_and_the_Sioux_Village-id_VxpOzg,VxpOzg,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Dances_With_Wolves_-_John_Dunbar_Discovers_Stands_With_A_Fist_and_the_Sioux_Village-id_VxpOzg,VxpOzg
Dances_With_Wolves_-_the_buffalo_hunt_scene_HD,data\2020-03-22_21_25\data\downloads\downloaded\audio,title_Dances_With_Wolves_-_the_buffalo_hunt_scene_HD-id_h9kQtd4_WcU-specs_50.webm,h9kQtd4_WcU,data\2020-03-22_21_25\data\downloads\downloaded\video,title_Dances_With_Wolves_-_the_buffalo_hunt_scene_HD-id_h9kQtd4_WcU-specs_256x144_24.mp4,h9kQtd4_WcU
