film,track_name,artist,url
blues brothers,Minnie the Moocher,The Blues Brothers,https://open.spotify.com/track/4CuMH5gdkI8gLIvKoeCwXm
blues brothers,Opening: I Can't Turn You Loose - Live Version,The Blues Brothers,https://open.spotify.com/track/5yGzKkwFTQmVkV6PKSj2Ak
blues brothers,Everybody Needs Somebody to Love,The Blues Brothers,https://open.spotify.com/track/1CtKHwDqsH3ctcCCI18N0g
blues brothers,Sweet Home Chicago,The Blues Brothers,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb
blues brothers,"Jailhouse Rock (From ""The Blues Brothers"")",The Showcast,https://open.spotify.com/track/6d02PdtnlxF5zcZBAZdG9u
blues brothers,The Old Landmark (feat. James Brown with Rev. James Cleveland Choir),The Blues Brothers,https://open.spotify.com/track/5FuQNRtqHqrsDL3UCRbewQ
school of rock,Stay Free - Remastered,The Clash,https://open.spotify.com/track/32rUsiLCvd1yZWr4UFUoiu
school of rock,Do You Remember Rock 'n' Roll Radio? - 2002 Remaster,Ramones,https://open.spotify.com/track/2Ck23L2znrPAFiyopqzWUj
school of rock,Concierto de Aranjuez: II. Adagio (arr. for flugelhorn),Joaquín Rodrigo,https://open.spotify.com/track/0FsgIAihFyGOTfZMipHuPj
school of rock,Iron Man,Black Sabbath,https://open.spotify.com/track/4BWtaaeVIRsR5HgLfuJAB9
school of rock,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
school of rock,Back In Black,AC/DC,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
school of rock,Substitute - Single Version,The Who,https://open.spotify.com/track/2SWpDaorS0j7fXFj9AJtFG
school of rock,Roadrunner,Jonathan Richman & The Modern Lovers,https://open.spotify.com/track/6KKMaySM5L8r1drPrebwN9
school of rock,The Wait,Metallica,https://open.spotify.com/track/5dnQOq6Pgcd4SAjUSzAy9w
school of rock,Sad Wings,Brand New Sin,https://open.spotify.com/track/0qajit3Z2YMlEGh4aMovqB
school of rock,Mouthful Of Love,Young Heart Attack,https://open.spotify.com/track/3Vh5P89kid3dIQdkLMktTg
school of rock,Black Shuck,The Darkness,https://open.spotify.com/track/1ACGHc4pgbk6wrwg0CkHGT
school of rock,Immigrant Song - 1990 Remaster,Led Zeppelin,https://open.spotify.com/track/6kjlvJLh2DBsSQtqVzFh8I
school of rock,Set You Free,The Black Keys,https://open.spotify.com/track/2cGKpvG1sGtoA3OjNEIMOO
school of rock,Edge of Seventeen,Stevie Nicks,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3
school of rock,For Those About to Rock (We Salute You),AC/DC,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
school of rock,Ballrooms Of Mars,T. Rex,https://open.spotify.com/track/5HAOJdzhQj33hrosuzzfoK
school of rock,Moonage Daydream - 2012 Remaster,David Bowie,https://open.spotify.com/track/6mib3N4E8PZHAGQ3xy7bho
school of rock,T.V. Eye - Remastered,The Stooges,https://open.spotify.com/track/5z79Fpw4FEEkSzt8Lbwr46
school of rock,Ride Into The Sun - 2015 Remastered Session Outtake,The Velvet Underground,https://open.spotify.com/track/6nX6a7XFWRPMfaBea5WIxl
school of rock,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,https://open.spotify.com/track/7nemcVsXVFZF01iqpIIo2Y
school of rock,Touch Me,The Doors,https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW
school of rock,Smoke On The Water - Remastered 2012,Deep Purple,https://open.spotify.com/track/5MMnwYs0hIxkENRsbkWJ2G
school of rock,Sunshine Of Your Love,Cream,https://open.spotify.com/track/2BcvvHttiZRvguFM4hR398
school of rock,Growing on Me,The Darkness,https://open.spotify.com/track/77asYwewm0lXvz76inosJm
school of rock,Bonzo Goes To Bitburg - File Under Ramones Album Version,Huntingtons,https://open.spotify.com/track/5hYb2O44wOiLu8cjIWpFeZ
school of rock,School of Rock (Teacher's Pet),The Original Broadway Cast Of School Of Rock,https://open.spotify.com/track/3lbtAQu0xBhbVXwgmxj9zy
grease,Grease - From “Grease” Original Motion Picture Soundtrack,Frankie Valli,https://open.spotify.com/track/1KnckjAZIi2mE9EdBLTJmX
grease,Summer Nights - From “Grease” Soundtrack,John Travolta,https://open.spotify.com/track/1CPCDaur2BxlCW0BVsf6rH
grease,"Hopelessly Devoted To You - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,https://open.spotify.com/track/02Hk9cT3I8WehA7J5l9yCL
grease,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",John Travolta,https://open.spotify.com/track/1pj3RzpA5AoXkZln0NockI
grease,Sandy - From “Grease” Soundtrack,John Travolta,https://open.spotify.com/track/1usziuhFGBtZkdAlUoiZzJ
grease,Beauty School Dropout,Billy Porter,https://open.spotify.com/track/62fEoJAMq0QbH5lpZMe1my
grease,"Look at Me, I'm Sandra Dee (Reprise)",Susan Wood,https://open.spotify.com/track/2EKZs45jnbxNJ9EFiy1TWC
grease,Greased Lightnin' - From “Grease” Soundtrack,John Travolta,https://open.spotify.com/track/0t7WhYsl5seMz896jS113q
grease,It's Raining On Prom Night,The Chicago Performers,https://open.spotify.com/track/1t2Kvv40jAC8yOQ5g5ONe3
grease,Da Funk,MEDIKAL,https://open.spotify.com/track/1RqAQdolASl7InSLH8dEbr
grease,Alone At the Drive in Movie,The Chicago Performers,https://open.spotify.com/track/0KucTyuwbo9gzgyqfeG4Tr
grease,Blue Moon,Sha Na Na,https://open.spotify.com/track/4rCyJikg4hv1d2Ua5A0io8
grease,Rock´n Roll Is Here to Stay,The Allen Starr Musical Theatre,https://open.spotify.com/track/58ktT6NVhWM55lrtA2oM2f
grease,Hound Dog,Sha Na Na,https://open.spotify.com/track/5DCkFkFtu7zimXPn1oNsu9
grease,Born to Hand Jive,The Allen Starr Musical Theatre,https://open.spotify.com/track/3U3qVFC4KtbvM8Wg5QYm6a
grease,Tears on My Pillow,Sha Na Na,https://open.spotify.com/track/5iJV8dFS1XFGHkjJ8sEt5s
grease,Mooning,The Chicago Performers,https://open.spotify.com/track/0EJIQCPwIMiCyrGDFce5Pk
grease,"Freddy, My Love",Megan Mullally,https://open.spotify.com/track/1wv541eJQQ1wImfAyRLV0k
grease,Rock 'n' Roll Party Queen,Sam Harris,https://open.spotify.com/track/4GsQSfakau2G0RiVtNrwVc
grease,There Are Worse Things I Could Do (Glee Cast Version) (feat. Kate Hudson),Glee Cast,https://open.spotify.com/track/2z1DR0bNunlqbO3uPRwvYD
grease,"Look at Me, I'm Sandra Dee (From ""Grease"")",Rosie O'Donnell,https://open.spotify.com/track/4AMubnlO5f2VuVzn5vMGnf
grease,We Go Together,Alexandre Desplat,https://open.spotify.com/track/7ciTZoxqPMMvxJLNiFZDTH
grease,Love Is A Many-splendored Thing,The Four Aces,https://open.spotify.com/track/7Kbb58gJ6iVO5F9pFCDsr7
grease,Grease (reprise),The Chicago Performers,https://open.spotify.com/track/5pR3h5abbeIp2Wk9LJ6o3u
dazed and confused,Sweet Emotion,Aerosmith,https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr
dazed and confused,Highway Star,Deep Purple,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX
dazed and confused,School's Out,Alice Cooper,https://open.spotify.com/track/7sYK9AWPY6EAsQ9SMmUTLw
dazed and confused,Jim Dandy,Black Oak Arkansas,https://open.spotify.com/track/1V8AIsR3gIiGL0mOZMld9q
dazed and confused,Why Can't We Be Friends,War,https://open.spotify.com/track/0arhqLBYMwyK6rOrGIkrGX
dazed and confused,Stranglehold,Ted Nugent,https://open.spotify.com/track/2f0P7iELCvAlV8j6Z3rGDE
dazed and confused,No More Mr. Nice Guy,Alice Cooper,https://open.spotify.com/track/5D2eCwqbHcqOnfHOCM6TnV
dazed and confused,Do You Feel Like We Do - Live,Peter Frampton,https://open.spotify.com/track/0qqRwBkq7oWv6QnIRLfQKe
dazed and confused,Low Rider,War,https://open.spotify.com/track/2fmMPJb5EzZCx8BcNJvVk4
dazed and confused,Hurricane,Bob Dylan,https://open.spotify.com/track/1lqMLr9Wj7SM2F9AikGcxN
dazed and confused,I Just Want to Make Love to You,Foghat,https://open.spotify.com/track/48MQDFkvHlGnRQyUx6ZXVe
dazed and confused,Love Hurts,Nazareth,https://open.spotify.com/track/1i5oEx2vFczQ2sCY3c6Kn5
dazed and confused,Paranoid - 2016 Remaster,Black Sabbath,https://open.spotify.com/track/1Y373MqadDRtclJNdnUXVc
dazed and confused,There's Never Been Any Reason,Head East,https://open.spotify.com/track/6P7B6uK6ftYsTMOCo4GGfE
dazed and confused,Tush,ZZ Top,https://open.spotify.com/track/1L8kJLp3ExF5ZGHwEZEqHe
dazed and confused,Fox on the Run - Alternate Version,Sweet,https://open.spotify.com/track/4FQf1wrg6xlcfxQC7ZTIpy
dazed and confused,Slow Ride,Foghat,https://open.spotify.com/track/4MYb7NWLwXNDB7bYs3HeX8
dazed and confused,"Rock and Roll, Hoochie Koo",Rick Derringer,https://open.spotify.com/track/57qlkytk7LUfbQcSG1n4c5
dazed and confused,Show Me The Way,Peter Frampton,https://open.spotify.com/track/6BD1X1PeV5UzYUdiVaD2yL
dazed and confused,Lord Have Mercy On My Soul,Black Oak Arkansas,https://open.spotify.com/track/42OcNrgjX5EDYmK72Mxeq3
dazed and confused,Balinese,ZZ Top,https://open.spotify.com/track/3cNHj5ns97x7tJotZ8fkcl
dazed and confused,Rock And Roll All Nite,KISS,https://open.spotify.com/track/6KTv0Z8BmVqM7DPxbGzpVC
dazed and confused,Right Place Wrong Time,Dr. John,https://open.spotify.com/track/0I2ELF6uHlL4ABu9aFiou7
dazed and confused,Living In The U.S.A. - Remastered 1991,Steve Miller Band,https://open.spotify.com/track/7sPOdGBgxpLzsYWRDD59ck
dazed and confused,Hey Baby,Ted Nugent,https://open.spotify.com/track/26arZyeKDvJc6pqjhayXNI
dazed and confused,Cherry Bomb,The Runaways,https://open.spotify.com/track/1fqbgEfUWFwJ6AFaVZ5DMV
dazed and confused,Summer Breeze,Seals and Crofts,https://open.spotify.com/track/01UYpHuzHi4eB9PAbDoPY2
dazed and confused,Tuesday's Gone,Lynyrd Skynyrd,https://open.spotify.com/track/7Mel9ZncELso6w1eNsU9jk
dazed and confused,Free Ride,The Edgar Winter Group,https://open.spotify.com/track/4DhbiXEuV7JxSR0wuqetTa
waynes world,Bohemian Rhapsody - 2011 Remaster,Queen,https://open.spotify.com/track/1pwE0jB6MTtTWx8fzqriAj
waynes world,Hot And Bothered,Cinderella,https://open.spotify.com/track/4L7XVmX0z7Alwc6tjpWZzA
waynes world,Rock Candy,Bulletboys,https://open.spotify.com/track/1CrhesFctWVqua2Q9iqsmi
waynes world,Dream Weaver,Gary Wright,https://open.spotify.com/track/74DrA5fFoGSy4xgkZarZtP
